ticker,date,pd_gbm,pd_jump_rolling,pd_regime_jump,label
AAL,2025-02-27 05:00:00,0.0043295707753878,0.14949,0.15161,0.0
AAL,2025-03-28 04:00:00,0.0080737008693019,0.22244,0.15776,0.0
AAL,2025-04-29 04:00:00,0.0232725532419376,0.32047,0.2734,0.0
AAL,2025-05-30 04:00:00,0.023380504164502,0.29397,0.24478,0.0
AAL,2025-06-27 04:00:00,0.0219505316876208,0.29206,0.23768,0.0
WBD,2023-01-30 05:00:00,0.0211992521805838,0.02179,0.03118,0.0
WBD,2023-02-27 05:00:00,0.0185658602603631,0.01908,0.02655,0.0
WBD,2023-03-30 04:00:00,0.0195625511787552,0.02007,0.02762,0.0
WBD,2023-04-28 04:00:00,0.018173529934763,0.01868,0.02812,0.0
WBD,2023-05-30 04:00:00,0.0190733267357673,0.01952,0.03399,0.0
WBD,2023-06-29 04:00:00,0.0159878160463166,0.01648,0.02939,0.0
WBD,2023-07-28 04:00:00,0.0154423781137142,0.01583,0.01583,0.0
WBD,2023-08-30 04:00:00,0.0086067637780136,0.00903,0.02176,0.0
WBD,2023-09-29 04:00:00,0.0120083886924463,0.03865,0.03938,0.0
WBD,2023-10-30 04:00:00,0.0122154139915234,0.01257,0.01257,0.0
WBD,2023-11-29 05:00:00,0.0131694844510705,0.05195,0.0524,0.0
WBD,2023-12-29 05:00:00,0.0127822165953985,0.0459,0.0464,0.0
WBD,2024-01-30 05:00:00,0.0093143549137592,0.04938,0.04977,0.0
WBD,2024-02-28 05:00:00,0.0114271641583568,0.07078,0.06987,0.0
WBD,2024-03-28 04:00:00,0.0109282516180879,0.07042,0.08282,0.0
WBD,2024-04-29 04:00:00,0.01072452689062,0.08001,0.08515,0.0
WBD,2024-05-30 04:00:00,0.0112602450900169,0.06529,0.0659,0.0
WBD,2024-06-28 04:00:00,0.0100880911364131,0.07691,0.07812,0.0
WBD,2024-07-30 04:00:00,0.0092190909873432,0.05442,0.05494,0.0
WBD,2024-08-30 04:00:00,0.0123399001281086,0.05851,0.06074,0.0
WBD,2024-09-27 04:00:00,0.0122078643467134,0.05066,0.05298,0.0
WBD,2024-10-30 04:00:00,0.0121909895279983,0.05937,0.05974,0.0
WBD,2024-11-29 05:00:00,0.0049298243559189,0.03266,0.03283,0.0
WBD,2024-12-30 05:00:00,0.0053391826463577,0.03843,0.03106,0.0
WBD,2025-01-30 05:00:00,0.0050096718591663,0.03117,0.03117,0.0
WBD,2025-02-27 05:00:00,0.0036984715396521,0.02814,0.02884,0.0
WBD,2025-03-28 04:00:00,0.0049273369232655,0.03356,0.01314,0.0
WBD,2025-04-29 04:00:00,0.0193100876363753,0.1009,0.05734,0.0
WBD,2025-05-30 04:00:00,0.0154030358240587,0.0794,0.04196,0.0
WBD,2025-06-27 04:00:00,0.0137243307522444,0.05488,0.0232,0.0
CVNA,2023-01-30 05:00:00,0.6814757876352896,0.65046,0.65968,0.0
CVNA,2023-02-27 05:00:00,0.713708445234612,0.67609,0.68638,0.0
